time,position,theta
5.25003,0.144596,-6.28232
5.26003,0.1443,-6.28232
5.27003,0.144004,-6.28232
5.28003,0.143708,-6.28232
5.29003,0.143414,-6.28232
5.30003,0.14312,-6.28232
5.31003,0.142826,-6.28232
5.32003,0.142533,-6.28233
5.33003,0.142241,-6.28233
5.34003,0.141949,-6.28233
5.35003,0.141658,-6.28233
5.36003,0.141367,-6.28233
5.37003,0.141077,-6.28233
5.38003,0.140788,-6.28234
5.39003,0.140499,-6.28234
5.40003,0.140211,-6.28234
5.41003,0.139923,-6.28234
5.42003,0.139636,-6.28234
5.43003,0.13935,-6.28235
5.44003,0.139064,-6.28235
5.45003,0.138778,-6.28235
5.46003,0.138494,-6.28235
5.47003,0.13821,-6.28235
5.48003,0.137926,-6.28236
5.49003,0.137643,-6.28236
5.50003,0.137361,-6.28236
5.51003,0.137079,-6.28236
5.52003,0.136798,-6.28236
5.53003,0.136517,-6.28236
5.54003,0.136237,-6.28236
5.55003,0.135958,-6.28236
5.56003,0.135679,-6.28237
5.57003,0.135401,-6.28237
5.58003,0.135123,-6.28237
5.59003,0.134846,-6.28237
5.60003,0.134569,-6.28237
5.61003,0.134293,-6.28238
5.62003,0.134018,-6.28238
5.63003,0.133743,-6.28238
5.64003,0.133468,-6.28238
5.65003,0.133194,-6.28238
5.66003,0.132921,-6.28238
5.67003,0.132649,-6.28239
5.68004,0.132376,-6.28239
5.69004,0.132105,-6.28239
5.70004,0.131834,-6.28239
5.71004,0.131564,-6.28239
5.72004,0.131294,-6.28239
5.73004,0.131024,-6.2824
5.74004,0.130756,-6.2824
5.75004,0.130487,-6.2824
5.76004,0.13022,-6.2824
5.77004,0.129953,-6.2824
5.78004,0.129686,-6.2824
5.79004,0.12942,-6.28241
5.80004,0.129155,-6.28241
5.81004,0.12889,-6.28241
5.82004,0.128625,-6.28241
5.83004,0.128361,-6.28241
5.84004,0.128098,-6.28241
5.85004,0.127835,-6.28242
5.86004,0.127573,-6.28242
5.87004,0.127311,-6.28242
5.88004,0.12705,-6.28242
5.89004,0.12679,-6.28242
5.90004,0.126529,-6.28242
5.91004,0.12627,-6.28243
5.92004,0.126011,-6.28242
5.93004,0.125752,-6.28243
5.94004,0.125494,-6.28243
5.95004,0.125237,-6.28243
5.96004,0.12498,-6.28243
5.97004,0.124724,-6.28243
5.98004,0.124468,-6.28244
5.99004,0.124213,-6.28244
6.00004,0.123958,-6.28244
6.01004,0.123704,-6.28244
6.02004,0.12345,-6.28244
6.03004,0.123197,-6.28244
6.04004,0.122944,-6.28244
6.05004,0.122692,-6.28245
6.06004,0.12244,-6.28245
6.07004,0.122189,-6.28245
6.08004,0.121938,-6.28245
6.09004,0.121688,-6.28245
6.10004,0.121438,-6.28245
6.11004,0.121189,-6.28245
6.12005,0.120941,-6.28246
6.13005,0.120693,-6.28246
6.14005,0.120445,-6.28246
6.15005,0.120198,-6.28246
6.16005,0.119951,-6.28246
6.17005,0.119705,-6.28246
6.18005,0.11946,-6.28247
6.19005,0.119215,-6.28247
6.20005,0.11897,-6.28247
6.21005,0.118726,-6.28247
6.22005,0.118483,-6.28247
6.23005,0.11824,-6.28247
6.24005,0.117997,-6.28247
6.25005,0.117755,-6.28248
6.26005,0.117513,-6.28248
6.27005,0.117272,-6.28248
6.28005,0.117032,-6.28248
6.29005,0.116792,-6.28248
6.30005,0.116552,-6.28248
6.31005,0.116313,-6.28248
6.32005,0.116074,-6.28249
6.33005,0.115836,-6.28249
6.34005,0.115599,-6.28249
6.35005,0.115362,-6.28249
6.36005,0.115125,-6.28249
6.37005,0.114889,-6.28249
6.38005,0.114653,-6.2825
6.39005,0.114418,-6.2825
6.40005,0.114183,-6.2825
6.41005,0.113949,-6.2825
6.42005,0.113715,-6.2825
6.43005,0.113482,-6.2825
6.44005,0.113249,-6.2825
6.45005,0.113017,-6.2825
6.46005,0.112785,-6.28251
6.47005,0.112554,-6.28251
6.48005,0.112323,-6.28251
6.49005,0.112093,-6.28251
6.50005,0.111863,-6.28251
6.51005,0.111633,-6.28251
6.52005,0.111404,-6.28251
6.53005,0.111176,-6.28252
6.54005,0.110948,-6.28252
6.55006,0.11072,-6.28252
6.56006,0.110493,-6.28252
6.57006,0.110266,-6.28252
6.58006,0.11004,-6.28252
6.59006,0.109814,-6.28252
6.60006,0.109589,-6.28253
6.61006,0.109364,-6.28253
6.62006,0.10914,-6.28253
6.63006,0.108916,-6.28253
6.64006,0.108693,-6.28253
6.65006,0.10847,-6.28253
6.66006,0.108247,-6.28253
6.67006,0.108025,-6.28253
6.68006,0.107803,-6.28254
6.69006,0.107582,-6.28254
6.70006,0.107362,-6.28254
6.71006,0.107141,-6.28254
6.72006,0.106922,-6.28254
6.73006,0.106702,-6.28254
6.74006,0.106483,-6.28254
6.75006,0.106265,-6.28255
6.76006,0.106047,-6.28255
6.77006,0.105829,-6.28255
6.78006,0.105612,-6.28255
6.79006,0.105396,-6.28255
6.80006,0.10518,-6.28255
6.81006,0.104964,-6.28255
6.82006,0.104749,-6.28256
6.83006,0.104534,-6.28256
6.84006,0.104319,-6.28256
6.85006,0.104105,-6.28256
6.86006,0.103892,-6.28256
6.87006,0.103679,-6.28256
6.88006,0.103466,-6.28256
6.89006,0.103254,-6.28256
6.90006,0.103042,-6.28256
6.91006,0.10283,-6.28257
6.92006,0.10262,-6.28257
6.93006,0.102409,-6.28257
6.94006,0.102199,-6.28257
6.95006,0.101989,-6.28257
6.96006,0.10178,-6.28257
6.97006,0.101571,-6.28257
6.98006,0.101363,-6.28257
6.99007,0.101155,-6.28258
7.00007,0.100948,-6.28258
7.01007,0.10074,-6.28258
7.02007,0.100534,-6.28258
7.03007,0.100328,-6.28258
7.04007,0.100122,-6.28258
7.05007,0.0999164,-6.28258
7.06007,0.0997115,-6.28258
7.07007,0.0995069,-6.28259
7.08007,0.0993028,-6.28259
7.09007,0.0990991,-6.28259
7.10007,0.0988958,-6.28259
7.11007,0.098693,-6.28259
7.12007,0.0984905,-6.28259
7.13007,0.0982885,-6.28259
7.14007,0.0980869,-6.28259
7.15007,0.0978857,-6.2826
7.16007,0.0976849,-6.2826
7.17007,0.0974845,-6.2826
7.18007,0.0972845,-6.2826
7.19007,0.097085,-6.2826
7.20007,0.0968858,-6.2826
7.21007,0.0966871,-6.2826
7.22007,0.0964888,-6.2826
7.23007,0.0962908,-6.28261
7.24007,0.0960933,-6.28261
7.25007,0.0958962,-6.28261
7.26007,0.0956995,-6.28261
7.27007,0.0955032,-6.28261
7.28007,0.0953073,-6.28261
7.29007,0.0951118,-6.28261
7.30007,0.0949167,-6.28261
7.31007,0.094722,-6.28262
7.32007,0.0945277,-6.28262
7.33007,0.0943338,-6.28262
7.34007,0.0941403,-6.28262
7.35007,0.0939472,-6.28262
7.36007,0.0937544,-6.28262
7.37007,0.0935621,-6.28262
7.38007,0.0933702,-6.28262
7.39007,0.0931787,-6.28262
7.40007,0.0929875,-6.28262
7.41007,0.0927968,-6.28263
7.42007,0.0926064,-6.28263
7.43008,0.0924165,-6.28263
7.44008,0.0922269,-6.28263
7.45008,0.0920377,-6.28263
7.46008,0.0918489,-6.28263
7.47008,0.0916605,-6.28263
7.48008,0.0914725,-6.28263
7.49008,0.0912849,-6.28264
7.50008,0.0910976,-6.28264
7.51008,0.0909107,-6.28264
7.52008,0.0907243,-6.28264
7.53008,0.0905382,-6.28264
7.54008,0.0903524,-6.28264
7.55008,0.0901671,-6.28264
7.56008,0.0899821,-6.28264
7.57008,0.0897976,-6.28264
7.58008,0.0896134,-6.28265
7.59008,0.0894295,-6.28265
7.60008,0.0892461,-6.28265
7.61008,0.089063,-6.28265
7.62008,0.0888803,-6.28265
7.63008,0.088698,-6.28265
7.64008,0.0885161,-6.28265
7.65008,0.0883345,-6.28265
7.66008,0.0881533,-6.28266
7.67008,0.0879725,-6.28266
7.68008,0.087792,-6.28266
7.69008,0.0876119,-6.28266
7.70008,0.0874322,-6.28266
7.71008,0.0872528,-6.28266
7.72008,0.0870739,-6.28266
7.73008,0.0868952,-6.28266
7.74008,0.086717,-6.28266
7.75008,0.0865391,-6.28266
7.76008,0.0863616,-6.28266
7.77008,0.0861844,-6.28267
7.78008,0.0860077,-6.28267
7.79008,0.0858312,-6.28267
7.80008,0.0856552,-6.28267
7.81008,0.0854795,-6.28267
7.82008,0.0853041,-6.28267
7.83008,0.0851291,-6.28267
7.84008,0.0849545,-6.28267
7.85008,0.0847802,-6.28267
7.86009,0.0846063,-6.28268
7.87009,0.0844328,-6.28268
7.88009,0.0842596,-6.28268
7.89009,0.0840867,-6.28268
7.90009,0.0839143,-6.28268
7.91009,0.0837421,-6.28268
7.92009,0.0835703,-6.28268
7.93009,0.0833989,-6.28268
7.94009,0.0832278,-6.28268
7.95009,0.0830571,-6.28269
7.96009,0.0828867,-6.28269
7.97009,0.0827167,-6.28269
7.98009,0.082547,-6.28269
7.99009,0.0823777,-6.28269
8.00009,0.0822087,-6.28269
8.01009,0.0820401,-6.28269
8.02009,0.0818718,-6.28269
8.03009,0.0817039,-6.28269
8.04009,0.0815363,-6.28269
8.05009,0.081369,-6.2827
8.06009,0.0812021,-6.2827
8.07009,0.0810355,-6.2827
8.08009,0.0808693,-6.2827
8.09009,0.0807034,-6.2827
8.10009,0.0805379,-6.2827
8.11009,0.0803726,-6.2827
8.12009,0.0802078,-6.2827
8.13009,0.0800432,-6.2827
8.14009,0.0798791,-6.2827
8.15009,0.0797152,-6.28271
8.16009,0.0795517,-6.28271
8.17009,0.0793885,-6.28271
8.18009,0.0792256,-6.28271
8.19009,0.0790631,-6.28271
8.20009,0.0789009,-6.28271
8.21009,0.0787391,-6.28271
8.22009,0.0785776,-6.28271
8.23009,0.0784164,-6.28271
8.24009,0.0782555,-6.28271
8.25009,0.078095,-6.28271
8.26009,0.0779348,-6.28272
8.27009,0.0777749,-6.28272
8.28009,0.0776154,-6.28272
8.29009,0.0774562,-6.28272
8.30009,0.0772973,-6.28272
8.31009,0.0771387,-6.28272
8.3201,0.0769805,-6.28272
8.3301,0.0768226,-6.28272
8.3401,0.076665,-6.28272
8.3501,0.0765077,-6.28273
8.3601,0.0763508,-6.28273
8.3701,0.0761942,-6.28273
8.3801,0.0760379,-6.28273
8.3901,0.0758819,-6.28273
8.4001,0.0757262,-6.28273
8.4101,0.0755709,-6.28273
8.4201,0.0754159,-6.28273
8.4301,0.0752612,-6.28273
8.4401,0.0751068,-6.28273
8.4501,0.0749527,-6.28273
8.4601,0.074799,-6.28273
8.4701,0.0746455,-6.28273
8.4801,0.0744924,-6.28274
8.4901,0.0743396,-6.28274
8.5001,0.0741871,-6.28274
8.5101,0.074035,-6.28274
8.5201,0.0738831,-6.28274
8.5301,0.0737315,-6.28274
8.5401,0.0735803,-6.28274
8.5501,0.0734294,-6.28274
8.5601,0.0732787,-6.28274
8.5701,0.0731284,-6.28274
8.5801,0.0729784,-6.28274
8.5901,0.0728287,-6.28275
8.6001,0.0726793,-6.28275
8.6101,0.0725302,-6.28275
8.6201,0.0723814,-6.28275
8.6301,0.072233,-6.28275
8.6401,0.0720848,-6.28275
8.6501,0.0719369,-6.28275
8.6601,0.0717894,-6.28275
8.6701,0.0716421,-6.28275
8.6801,0.0714952,-6.28275
8.6901,0.0713485,-6.28276
8.7001,0.0712021,-6.28276
8.7101,0.0710561,-6.28276
8.7201,0.0709103,-6.28276
8.7301,0.0707649,-6.28276
8.7401,0.0706197,-6.28276
8.7501,0.0704748,-6.28276
8.76011,0.0703303,-6.28276
8.77011,0.070186,-6.28276
8.78011,0.0700421,-6.28276
8.79011,0.0698984,-6.28276
8.80011,0.069755,-6.28277
8.81011,0.0696119,-6.28277
8.82011,0.0694691,-6.28277
8.83011,0.0693266,-6.28277
8.84011,0.0691844,-6.28277
8.85011,0.0690425,-6.28277
8.86011,0.0689009,-6.28277
8.87011,0.0687595,-6.28277
8.88011,0.0686185,-6.28277
8.89011,0.0684777,-6.28277
